date,amount,category,description
2024-07-17,50.00,Food,Groceries
2024-07-16,25.00,Transportation,Gasoline
2024-07-15,100.00,Entertainment,Movie tickets
2024-07-14,80.00,Shopping,Clothing
2024-07-13,200.00,Utilities,Electricity bill
2024-07-12,30.00,Food,Dining out
2024-07-11,15.00,Transportation,Bus fare
2024-07-10,50.00,Shopping,Books
2024-07-09,120.00,Entertainment,Concert tickets
2024-07-08,60.00,Food,Groceries
2024-07-07,20.00,Transportation,Fuel
2024-07-06,45.00,Shopping,Electronics
2024-07-05,80.00,Utilities,Internet bill
2024-07-04,35.00,Food,Takeout
2024-07-03,50.00,Transportation,Train tickets
2024-07-02,75.00,Entertainment,Movie streaming service
2024-07-01,40.00,Shopping,Clothing
2024-06-30,90.00,Food,Groceries
2024-06-29,25.00,Transportation,Gasoline
2024-06-28,60.00,Entertainment,Amusement park
2024-06-27,70.00,Shopping,Household items
2024-06-26,150.00,Utilities,Electricity bill
2024-06-25,30.00,Food,Dining out
2024-06-24,20.00,Transportation,Bus fare
2024-06-23,55.00,Shopping,Books
2024-06-22,110.00,Entertainment,Movie tickets
2024-06-21,65.00,Food,Groceries
2024-06-20,40.00,Transportation,Fuel
2024-06-19,70.00,Shopping,Electronics
2024-06-18,85.00,Utilities,Internet bill
2024-06-17,25.00,Food,Takeout
2024-06-16,45.00,Transportation,Train tickets
2024-06-15,80.00,Entertainment,Concert tickets
2024-06-14,55.00,Shopping,Clothing
2024-06-13,95.00,Food,Groceries
2024-06-12,30.00,Transportation,Gasoline
2024-06-11,70.00,Entertainment,Movie streaming service
2024-06-10,50.00,Shopping,Household items
2024-06-09,120.00,Utilities,Electricity bill
2024-06-08,35.00,Food,Dining out
2024-06-07,60.00,Transportation,Bus fare
2024-06-06,45.00,Shopping,Books
2024-06-05,80.00,Entertainment,Amusement park
2024-06-04,25.00,Food,Groceries
2024-06-03,50.00,Transportation,Fuel
2024-06-02,70.00,Shopping,Electronics
2024-06-01,85.00,Utilities,Internet bill
